"Author.Full.Names","Article.Title","Publication.Year","Abstract","Answer.1","Answer.2","Answer.3","Answer.4","Answer.5","Answer.6","Answer.7","Answer.8","Answer.9"
"Metatla, Oussama; Bardot, Sandra; Cullen, Clare; Serrano, Marcos; Jouffrais, Christophe","Robots for Inclusive Play: Co-designing an Educational Game With Visually Impaired and Sighted Children",2020,"Despite being included in mainstream schools, visually impaired children still face barriers to social engagement and participation. Games could potentially help, but games that cater for both visually impaired and sighted players are scarce. We used a co-design approach to design and evaluate a robot-based educational game that could be inclusive of both visually impaired and sighted children in the context of mainstream education. We ran a focus group discussion with visual impairment educators to understand barriers to inclusive play. And then a series of co-design workshops to engage visually impaired and sighted children and educators in learning about and critiquing a commodity robot technology and exploring its potential to support inclusive play experiences. We present design guidelines and an evaluation workshop of a game prototype, demonstrating group dynamics conducive to collaborative learning experiences, including shared goal setting/execution, closely coupled division of labour, and interaction symmetry.","Yes","Accommodation","Robot-based educational game","Classroom","N/A","N/A","N/A","Inclusive play","N/A"
"de Almeida Reboucas, Cristiana Brasil; de Araujo, Moziane Mendonca; Braga, Fernanda Cavalcante; Fernandes, Giselle Taveira; Costa, Samira Cavalcante","Evaluation of quality of life of visually impaired",2016,"Objective: to evaluate the quality of life of visually impaired using WHOQOL-100. Method: exploratory, descriptive, and quantitative study, performed between April and May 2013 with 20 visually impaired of the Blind Association of Ceara, through interviews. Results: the analysis showed that males predominated (80%), 41-55 years (40%), students (50%) and personal income than the minimum wage (70%). Participants were self-rated with good quality of life (68.75%). The facets with the highest rates were personal relationships (74.06%), sexual activity (66.88%) and spirituality/religion/personal beliefs (65%). With lower rates were financial (43.44%), physical environment: pollution/noise/traffic/climate (46.88%), physical security and protection (37.19%), transport (35.63%) and medication or treatment dependency (8.25%). Conclusion: these results reflect the importance of the nurse to perform health education actions promoting the empowerment, autonomy and guaranteed of access in society for this clientele.","Yes","Not","N/A","N/A","N/A","20","Ceara","N/A","N/A"
"Yang, Fei; Tang, Fanshu; Yao, Yu","Creating intangible accessible environments: the implementation of the Marrakesh Treaty on visually impaired people in China",2023,"The Marrakesh Treaty entered into force in China on May 5, 2022. To fulfill its obligations and guarantee basic education access for visually impaired people, China revised its copyright law and introduced supporting measures for Treaty implementation. This article discusses various issues in designing a legal system for achieving 'intangible accessible environments' for visually impaired people in China and the priorities and possible shortcomings in transforming the Marrakesh Treaty into domestic law. Legislation must carefully avoid using specialized over-protection designs that could exacerbate the marginalization and social isolation of visually impaired people. Furthermore, it is crucial to refine the supporting system for Treaty implementation and strengthen sectoral synergies and international cooperation.","Yes","Accommodation","N/A","N/A","N/A","N/A","China","N/A","N/A"
"Gkouvatzi, Anastasia N.","Enhancing the Academic Achievement of Disabled Students in Greek Universities through Accessible Technology Services",2010,"The increasing number of disabled students attending higher educational institutions in Greece has produced new data regarding the support of these students, which is matched by an increased interest in making university programs accessible to all students. The purpose of the present study was to provide an overview of potential access difficulties facing students with disabilities in higher education, in order to assist academic policy makers create reasonable provisions to facilitate the successful completion of their studies. The research documented the opinions of seventy disabled (24 hearing, 23 visual and 23 motor physical impaired) students aged 20-32, who attend nine Greek Universities, by means of semi-structured interviews. Our results showed that AT (Accessible Technology) adaptations could support: (I) environmental access, through: special circulation devices (navigators) inside and outside of campus; adapted lifts with hap tic and vocal feedback; Braille signs; tactile maps; and einformation for transportation, (II) learning access through technical tools for adapted course materials and alternative examination provisions generally. More specifically, these include: Real Time Graphic Display, Greek Sign Language Translation System, Radio frequency modulated and FM Units Technical resources for the hearing impaired, Braille transformer and printers, screen readers and magnifiers, academic manuscripts in e-format for the visually impaired, and electronic pointing devices and technological solutions to support students who experience writing difficulties because of motor physical impairments. Thirdly (III) the effective use of ICTs, and specifically the implementation of digital libraries, accessible web pages, software accessibility validation programs, online courses for distance learning programs, electronic resources for communication, research and problem solving.","Yes","Accommodation","Braille, screen readers, magnifiers, e-manuscripts","Learning access","College","Seventy","Greece","N/A","N/A"
"Bernareggi, Cristian; Hengstberger, Barbara; Brigatti, Valeria","Transnational support to visually impaired in scientific university courses",2008,"Blind and visually impaired students seldom choose to attend university technical or scientific courses. The major problems concern access to scientific documentation, to scientific software and getting advantage of attending lessons. Many solutions exist, but they are often available or known at national level. This paper introduces the @science thematic network, which aims at collecting and documenting pratices and experiences at transnational level to facilitate blind and visually impaired students to go through scientific studies at university.","Yes","Accommodation","Access to scientific documentation and software","Classroom","University","N/A","Transnational","Scientific studies","N/A"
"Papazafiropulos, Nicola; Fanucci, Luca; Leporini, Barbara; Pelagatti, Susanna; Roncella, Roberto","Haptic Models of Arrays Through 3D Printing for Computer Science Education",2016,"Computer science is taught as a regular subject in the school systems of many countries. Most tools used to teach main topics of computer science curricula, such as data structures and algorithms, are visually oriented. Our work aims to assist visually impaired students to understand fundamental data structures and algorithms through 3D printed haptic models. We developed a simple but general method that can be used by the teacher to introduce data structures and algorithmic thinking to both visual impaired and sighted students in inclusive classes. We evaluated our models for teaching one-dimensional arrays to both visual impaired and sighted students.","Yes","Accommodation","3D printed haptic models","Classroom","N/A","N/A","N/A","Computer Science","N/A"
"Augestad, Liv Berit; Klingenberg, Oliv; Fosse, Per","Braille use among Norwegian children from 1967 to 2007: trends in the underlying causes",2012,". Purpose: The aim of the study was to estimate the occurrence, diagnoses and time trends among Norwegian children that have received education in braille from 1967 to 2007. Methods: We used a retrospective population-based study design. The health care system is free for all inhabitants in Norway. We included all children that had received braille education the last four decades. From each students record, we abstracted year born, country of birth, gender, year diagnosed, diagnosis, classification of visual impairment and type of reading media. Results: We identified 287 children (137 girls and 150 boys) that had received braille education over the last 40 years. Of these, 262 (91.3%) children were born in Norway, 145 (53.7%) were diagnosed within the first year of life and 59 (20.6%) from age of one to five. The most frequent diagnoses were Retinopathy of Prematurity (ROP), Juvenile Ceroid Lipofuscinoses (JNCL), Lebers Congenital Amaurosis (LCA) and Retinitis Pigmentosa (RP). Among the children, 63% (N = 170) used braille only, 9% (N = 25) braille and print, but priority braille, and 27% (N = 73) braille and print, priority print. The number of children with ROP using braille had a peak in 1977, then the number declined. The number diagnosed with LCA increased from 1987 to 1992. The number of braille users among children diagnosed with JNCL tended to increase substantially after 1992. Conclusion: Braille education seemed to be dependent of trends in diagnoses as well as trends in recommendations from professional educators.","Yes","Accommodation","Braille education","N/A","N/A","287","Norway","N/A","Yes, 287 children"
"Noel-Storr, Jake; Willebrands, Michelle","Accessibility in astronomy for the visually impaired",2022,"Four researchers - Nicolas Bonne, Cheryl Fogle-Hatch, Garry Foran and Enrique Perez Montero - discuss the accessibility challenges in astronomy research, education and outreach for persons who are blind or visually impaired. Solutions to these challenges create innovative data analysis methods for all astronomers.","Yes","Accommodation","Innovative data analysis methods","N/A","N/A","N/A","N/A","Astronomy","N/A"
"MCEWAN, RC; WIER, S; MCBRIDE, A","UPGRADING THE ACADEMIC AND JOB SKILLS OF BLIND AND VISUALLY-IMPAIRED ADULTS IN A PUBLIC SECONDARY-SCHOOL",1992,"Since 1987, 15 blind and visually impaired adults have enrolled in a public secondary school in London, Ontario, to upgrade their academic credentials and to learn new job skills. This article describes these students, the program, and the extent to which the students have been successful and discusses the potential importance of secondary schools for the education of blind and visually impaired adults.","Yes","N/A","N/A","N/A","Secondary school","15","Canada, Ontario","N/A","N/A"
"Sabuncuoglu, Alpay","Tangible Music Programming Blocks for Visually Impaired Children",2020,"Programming can benefit children on learning science, math, and creative thinking, and has become a part of the primary school curriculum. However, programming tools for visually impaired children are still scarce. We developed an affordable and accessible tangible music platform for visually impaired children that aims to teach the basics of programming through music creation. By ordering the tangible blocks in an algorithmic structure, the children can create a melody. The physical and conceptual design of the system was developed with the help of visually impaired developers. We conducted a user study with fourteen visually impaired middle school children to observe their interactions with the prototype. In this paper, we present our design, provide several TUI design considerations for students with low to zero sight, and discuss the results of our user study and future directions.","Yes","Accommodation","Tangible music programming blocks","Learning","Middle school","Fourteen","N/A","Programming","N/A"
"Giese, Martin; Teigland, Christina; Giessing, Juergen","Physical activity: analysis of physical activity levels in children with visual impairments in Germany",2019,"For the first time in German-speaking countries, the (1) daily physical activity and physical activity level in physical education classes, (2) body composition and (3) subjective assessment of the emotional well-being of visually impaired pupils (n=115) at a school for special education were compared with pupils (n=118) without visual impairment at a general school. In addition, the question as to whether the degree of visual acuity is related to the above-mentioned parameters was addressed. It was found that the visually impaired and blind study participants were able to achieve at least comparable values in all the parameters surveyed. In comparison to the control group without visual impairment, the visually impaired and blind pupils showed neither insufficient movement profiles nor poorer body composition. In addition, the movement profiles of the visually impaired and blind pupils in and outside physical education classes was not significantly correlated with the degree of visual acuity.","Yes","N/A","N/A","N/A","N/A","N/A","Germany","Physical education","N/A"
"Croft, Emma","Experiences of Visually Impaired and Blind Students in UK Higher Education: An Exploration of Access and Participation",2020,"Drawing on a small scale doctoral research project that engaged a critical disability studies (CDS) lens and is rooted in a Grounded Theory methodological approach, this paper explores the experiences of visually impaired and blind students regarding their access and negotiation of inclusion within UK higher education (HE). The emergent research findings, which here focus on the process and practical application of Disabled Student's Allowance, accommodation within student living and, more broadly, social interactions within HE, reveal a liminal and bounded participation contrary to the ongoing processes and practices, within HE, which purport equity and inclusion. By foregrounding the voices of these visually impaired students, whilst expanding upon existing understanding of the experiences of disabled students, the important discussions of day-to-day social interactions and identity as a visually impaired person and student reveal an important juxtaposition between the rhetoric of inclusion and individual experience.","Yes","Accommodation","Disabled Student's Allowance, student living","N/A","Higher education","N/A","UK","N/A","N/A"
"Pino, Angela","Facing the challenges of the inclusion of visually impaired students: Music teacher's perceptions",2022,"The basic training of music teachers does not usually contemplate inclusive resources intended to assist visually impaired students. Given the need for specific training, the purpose of this study was to collect together the perceptions of a group of 13 pre-primary, primary, and high school in-service music teachers, as regards a professional development course that addresses the inclusion of pupils with visual impairments. The teachers' perceptions about the resources provided, the procedures used and the impact of what was learned during the course were obtained by means of open questionnaires and a semi-structured interview. The findings highlight the acquisition of inclusive resources as a starting point for the teachers' sense of preparedness in the classroom and show the impact of active learning and direct contact with visually impaired students on the development of a positive attitude toward inclusion. Factors and lessons contributing to guiding the design of future professional development programs in the field of inclusive music education for visually impaired students were identified.","Yes","Accommodation","Inclusive resources for visually impaired students","Classroom","Pre-primary, primary, high school","13","N/A","Music","N/A"
"Herold, Frank; Dandolo, Jack","Including visually impaired students in physical education lessons: a case study of teacher and pupil experiences",2009,"Following recent education policy and curriculum changes in England, the notion of inclusion of children with special educational needs in physical education has increasingly become a topic of research interest and concern. It was the aim of this study to explore personal experiences and perspectives of inclusion in physical education. To this end this study used a series of interviews and observations with a visually impaired (blind) pupil, a physical education teacher and a learning support assistant at a school for children with moderate learning difficulties. The findings highlighted four significant areas of impact: the role of teacher training and development; the role of learning support assistants; resources; and the limitations of the National Curriculum in Physical Education as a framework for inclusion. Recommendations on how to address these issues in order to improve the standards of inclusion for visually impaired pupils in physical education are made.","Yes","Yes","N/A","Physical education","N/A","N/A","England","Physical education","N/A"
"Argyropoulos, Vassilios; Masoura, Elvira; Tsiakali, Thomai K.; Nikolaraizi, Magda; Lappa, Christina","Verbal working memory and reading abilities among students with visual impairment",2017,"Aim: This study investigated the relationship between working memory (WM) and reading abilities among students with visual impairment (VI). Seventy-five students with VI (visually impairment and blindness), aged 10-15 years old participated in the study, of whom 44 were visually impaired and 31 were blind. Methods: The participants' reading ability was assessed with the standardized reading ability battery Test-A (Padeliadu & Antoniou, 2008) and their verbal working memory ability was assessed with the listening recall task from the Working Memory Test Battery for Children (Pickering et al., 2001). Results-Implications: : Data analysis indicated a strong correlation between verbal WM and decoding, reading comprehension and overall reading ability among the participants with VI, while no correlation was found between reading fluency and verbal WM. The present study points out the important role of verbal WM in reading among students who are VI and carries implications for the education of those individuals.","Yes","N/A","N/A","N/A","Middle school","75","N/A","Reading","N/A"
"Penaloza-Mendoza, Guillermo Rey; Sanchez-Rodriguez, Alan Amaury; Melgoza-Rivera, Perla Yahaira; Espinosa-Hurtado, Stephany","Design of an electronic prototype to teach braille",2020,"This work proposes an electronic device to teach Braille. The goal of our prototype is to be a pedagogical strategy to teach Braille to people suffering from visual disability. The teaching process applies to people with visual impairment, while visually deploying to those who support the teaching process. The prototype was tested among two groups of participants and the results are discussed.","Yes","Accommodation","Electronic device to teach Braille","Learning","N/A","Two groups","N/A","Braille","N/A"
"Salih, Hisham E. Bilal; Kakizawa, Toshibumi","Comparing the Two Educational Systems for Visually Impaired Students in Sudan: Pros and Cons",2022,"Students with visual impairment in Sudan are usually accepted into residential segregated schools during their pre-high school years. This schooling system remains a subject of excessive debate among those interested in this field of study. This debate is part of an ongoing conversation and discussion on the merits and demerits of integrating disabled children with non-disabled peers at regular schools. This study aimed to answer three main questions pertaining to this subject. The first one tackles whether the placement of visually impaired students in specialized schools for the blind in Sudan (henceforth specialized schools) serves their education best. The second compares the advantages and disadvantages of integrating this group of students into regular schools as opposed to separating them into specialized schools. The third question is concerned with the competencies which the teachers at the Sudanese General Basic School should have in order to fulfill the requirements of the inclusive education setting. Interviews were conducted with a group of 20 participants; 10 of these were students who joined schools for the blind and regular schools in Sudan, while the remaining participants were teachers and personnel in the field of education for the visually impaired in Sudan. Thematic analysis was used to analyze the interview data, which revealed that students with visual impairment, teachers who work in specialized schools, and the group of special education officials who participated in this study were in favor of inclusive education at regular schools after securing the necessary educational needs for these students to access school curricula equal to their sighted peers. Many practical solutions and suggestions have been presented to enhance the education of the visually impaired in Sudan.","Yes","Yes","N/A","N/A","Pre-high school","20","Sudan","N/A","N/A"
"Rubin, Malgorzata","Usefulness of specialized information and communication tools in mathematics education of visually impaired students - the results of teachers' opinion survey",2016,"The article presents the results of research on the usefulness of specialized information and communication technologies (ICT) in mathematics education of visually impaired students. The aim of the research was to evaluate the benefits of using innovative technologies for both a teacher and his/her visually impaired student. Functionality and usability of proposed solutions were preliminarily evaluated. Possibility to create mathematical content available for both visually impaired and blind students in EPUB3 format was positively evaluated by all 20 surveyed teachers. At the same time, 19 teachers asked for the opinion about diverse educational tools supporting preparation of the class materials appreciated their value as significantly facilitating and time saving solutions. Vast majority of them (17) expressed the opinion that cubarithms improve the process of teaching and practicing arithmetic. Fifteen teachers stated that semantic interpretation of the formulas in Polish and the possibility to navigate easily through their structures are the factors that significantly accelerate the performance of visually impaired students. Remote desktop tool has been assessed as facilitating teacher-student cooperation both in-class and on-line. The teachers also claimed that proposed solutions may positively influence the effectiveness of mathematics education in heterogenic student group by accelerating and facilitating the didactic process. That in turn may be considered as a positive response to the challenge of inclusive education.","Yes","Accommodation","Specialized ICT tools","Classroom","N/A","20","N/A","Mathematics","N/A"
"Malik, Shazia; Abd Manaf, Umi Kalthom; Ahmad, Nor Aniza; Ismail, Maimunah","Orientation and Mobility Training in Special Education Curriculum for Social Adjustment Problems of Visually Impaired Children in Pakistan",2018,"The study is aimed at investigating the impact of orientation and mobility (O&M) training as a part of the special education curriculum on the social adjustment of visually impaired children. The population consisted of visually impaired children between the ages of (5-15), studying at different special education institutes in Pakistan was the assessable population for the study. A sample of 125 male and female visually impaired children from public and private special education institutes of Islamabad, Pakistan were conveniently selected as a sample of the study. The study used two sub-dimensions of social adjustment, namely Self Personality and Pro-social behavior, to be explored in terms of their relationship with orientation and mobility training. The results showed a significant relationship between O&M training and social adjustment of children in terms of personality well-being and social interaction while with the others. The variables were found to be correlated with each other. The results were in line with most of the previous research studies. The novelty of the study lies in selection of cultural context of Pakistan, which is a developing country and to date international standard trainings and social care is not provided to the visually impaired at large.","Yes","Accommodation","Orientation and mobility training","N/A","5-15 years","125","Pakistan","Social adjustment","N/A"
"Mejia, Paul; Cesar Martini, Luiz; Larco, Julio; Grijalva, Felipe","CASVI: A Computer Algebra System Aimed at Visually Impaired People",2018,"The biggest barrier for visually impaired people to pursue a bachelor of science degree is not the blindness itself but the access to mathematical resources. Resources such as Computer Algebra Systems (CAS) are not accessible, which means that even the execution of elementary math becomes a challenging task. In this paper, we present Casvi, a CAS for visually impaired people, which allows to perform symbolic and numeric computation using the Maxima's math engine. Casvi offers modules for algebra, linear algebra, differential calculus, integral calculus among others. Moreover, it provides an intuitive user interface based on synthetic speech and non-speech sounds.","Yes","Accommodation","CAS for visually impaired people","N/A","College","N/A","N/A","Mathematics","N/A"
"Regal, Georg; Sellitsch, David; Kriglstein, Simone; Kollienz, Simon; Tscheligi, Manfred","Be Active! Participatory Design of Accessible Movement-Based Games",2020,"Regular physical exercise is an essential factor for preventing chronic diseases. Activities to support physical education in schools have been increasingly used in recent years as a target to get young people interested in sports. However, for visually impaired students it is difficult to participate in traditional team sports which are widely played in physical education. To overcome this issue, we developed a design toolkit consisting of building blocks that enable visually impaired students to create and play their own movement-based games. To investigate different types of building blocks and their potential to create accessible movement-based games, we conducted two game design workshops with visually impaired students. The results show that our building blocks can successfully be used by visually impaired students to empower them to become creators of movement-based games that are both accessible and engaging. By making our design-process transparent, we further provide insights on how to implement a co-creation process in a school for visually impaired students.","Yes","Accommodation","Design toolkit for movement-based games","School physical education","N/A","N/A","N/A","Physical education","N/A"
"Shahira, K. C.; Lijiya, A.","Document Image Classification: Towards Assisting Visually Impaired",2019,"Our work aims to enable the visual information in a document to be accessible by the visually impaired or the blind people. The blind people prefer arts over science subjects in higher education because conveying equations and algorithms to them is seen as difficult. They should not be deprived of acquiring knowledge due to physical disabilities. In this work, we identify different types of images in an algorithm textbook as graphs, algorithm images, equations, and network flow diagrams with 98% accuracy. The Convolution Neural Networks used can predict new data instances with 99% accuracy except for recurrence tree images. We want to extend our work to extract the textual information in these images and produce image descriptions as alt text. This can produce a better speech output to assist the blind people.","Yes","Accommodation","Document image classification for BVI students","Learning","College","N/A","N/A","Algorithm textbooks","N/A"
"Mahfuz, Saifullah; Sakib, Md Nazmus; Husain, M. M.","A preliminary study on visually impaired students in Bangladesh during the COVID-19 pandemic",2022,"This article problematizes the status of the visually impaired students in Bangladesh under the COVID-19 global pandemic. We inquire into two inter-related questions: (a) what level and quality of technological access does a visually impaired student have in their higher education institution (e.g. a university or government-affiliated college operating under a university)? And, (b) how are these students coping academically under the pandemic? Our preliminary study employed mixed methods for data collection, encompassing a quantitative survey questionnaire followed by qualitative phone interviews. We reached out to approximately 15 male and female students enrolled in public and private higher educational institutions in the country. The findings will be instrumental to initiate a collaborative discussion among academics and practitioners in the government, non-government and private sectors in the country and around the Global South.","Yes","N/A","N/A","N/A","Higher education","15","Bangladesh","N/A","N/A"
"Donoyama, Nozomi; Takeda, Fumi","Mental health and related factors among massage practitioners with visual impairment",2007,"The purpose of this study was to explore the mental health conditions and related factors among 155 visually impaired massage practitioners chosen from alumni lists of ten schools for the visually impaired in Japan. It was thought massage practitioners with visual impairment did not suffer burnout and depression because their mean scores indicated no problem. However, their mean score for anxiety was high compared with previous studies. Gender and level of education showed no significant differences on anxiety and depression. Higher scores for anxiety and depression correlated inversely with age. Scores of depersonalization, anxiety, and depression were significantly higher and those of personal accomplishment lower for unmarried subjects compared to those who were married. Scores of emotional exhaustion, anxiety, and depression were significantly higher in persons who were able to read written text compared to those who read Braille only. Massage practitioners with visual impairment working at hospitals, medical clinics, and nursing homes revealed significantly higher daily client turnover, emotional exhaustion, and depersonalization compared to those who established their own massage clinics. It was thought that massage practitioners who were young and unmarried, had slight visual impairment, high client turnover, hectic relationships between clients, little autonomy at work, and worked at medical-related workplaces were prone to burnout. It is suggested that this group of massage practitioner requires periodic education about stress management techniques and more social support.","No","N/A","N/A","N/A","N/A","155","Japan","N/A","N/A"
"Hacioglu, Yasemin; Suicmez, Esra","STEAM education in preschool education: We design our school for our visually impaired friend",2022,"Integration of STEAM disciplines in preschool education is considered to be difficult for children to work as engineers and perform robotics applications. Therefore, preschool STEAM activities are needed. The study aims to convey how to implement the preschool STEAM activity named We design our school for our visually impaired friend with children aged 48-66 months. Children ran -engineering, technology, and artistic- design processes by scientific and mathematical inquiry. They worked for a week under the guidance of their teacher. First, they designed tactile paths for the visually impaired person in their school, tested with dramatic inquiry, and presented. Second, they coded and tested Bee-Bot to help guide and accompany their disabled friend. Then, they designed posters for awareness of the life of impaired people and evaluated them. Then they hung it on the walls of the school and explained the importance of roads for the visually impaired, tasks of Bee-Bot to other children, teachers, and parents. They evaluated each other and themselves while testing their designs and used scientific concepts - the importance of seeing sense organs, mathematical shapes. The children had fun and learned by working cooperatively throughout the activity for the process of STEAM activity.","Yes","Accommodation","Tactile paths, Bee-Bot coding","Classroom","Preschool","N/A","N/A","STEAM","N/A"
"Smiechowska-Petrovskij, Emilia","Contingency in Inclusive Education",2017,"Nowadays' more and more students with special educational needs learn in inclusive education. In Poland for example it is more than 60%. The aim of this paper is to present what students with disability (especially blind and visually impaired) and students without dysfunction can both learn from each other and what are the aspects of contingency in inclusive education. The main part of the paper is presentation of interactive and cooperative method of class works in heterogeneous group of students.","Yes","N/A","N/A","N/A","N/A","N/A","Poland","N/A","N/A"
"Campos, Carolina Rosa; Nakano, Tatiana de Cassia","Assessment of Intelligence of Visually Impaired Children: Exploratory Study of Fitness for Items",2017,"The aim of this study was to compare the cognitive performance of visually impared and disabled children, as well as to analyze the influence of group and education level through the Intelligence Assessment Battery for Visually Impaired Children (baic-dv), justifying the importance of specific instruments for the targeted population. The instrument was applied to 14 visually impaired children 7-12 years (M = 10.28; SD = 1.58), six female, ten classified with low sight (eight with congenital disabilities, acquired two) and four with total blindness (two acquired, two congenital); and 17 children with normal vision (M = 9.94 years; SD = 1.43; all female). We evaluated the total of correct answers, runtime and influence of sex, age and education. The results showed better performance of sighted and children with congenital deficiency in relation to children with acquired deficiency. Children with low vision outperformed the blind. The influence of education variables on Verbal subtest and sex variable was noted on the memory subtest. Concluding, the specific instrument for visually impaired children was considered important, there is given the scarcity of instruments for this purpose in the Brazilian scientific literature.","Yes","N/A","N/A","N/A","7-12 years","31","Brazil","Cognitive performance","N/A"
"Plazar, Janja; Meulenberg, Cecil J. W.; Kermauner, Aksinja","SCIENCE EDUCATION FOR BLIND AND VISUALLY IMPAIRED CHILDREN",2021,"Nowadays, science education is based predominantly on the principle of constructivism, according to which children should be active participants in the learning process and construct their knowledge based on experience. For blind or visually impaired children, science education methods and educational tools must be adapted according to their perceptual needs, in order for these children to be active participants in the learning process. The aim of the current paper is to describe the latest view on active and inquiry-based learning in science education for blind or visually impaired children while simultaneously minimizing misconceptions. Further, the paper compiles the recent research that enables prosperous and high-quality adaptive educational approaches and tools. Thus, the content of this paper will be useful for both science teachers and researchers of inclusive classrooms.","Yes","Accommodation","Adaptive educational approaches and tools","Classroom","N/A","N/A","N/A","Science","N/A"
"Veriscimo, Erico de Souza; Bernardes, Joao Luiz, Jr.","3D Interaction Accessible to Visually Impaired Users: A Systematic Review",2016,"There is currently a large number of visually impaired people in Brazil and worldwide. And just as any citizen they have their rights, including in them the right to education and other services that accelerate the process of social. With advent of technology increasingly virtual environments in three dimensions are being used for various areas. But often these environments are not accessible to visually impaired becoming a digital divide. In this context, a review of interactions in three dimensions accessible to visually impaired people may facilitate the work of researchers and developers to build such accessible applications. This paper presents the results of such a systematic literature review.","Yes","N/A","3D interaction for visually impaired","N/A","N/A","N/A","N/A","N/A","N/A"
"Chu, Hung Chi; Wu, Wei-Tai; Chao, Fang-Lin; Lee, Liza","Design and Implementation of an Assisted Body Movement System for Visually Impaired Children",2012,"It is difficult to teach visually impaired children body movements. The traditional way to learn body movements is for the teacher to hold the hand of the visually impaired child. However, this approach is time consuming, laborious, and ineffective. Because of the development of sensing technology, it can be applied to military detection, medical care, security monitoring, crop growth, and technology education. This study reports the design and implementation of a body movement assistance device for visually impaired children. This study also designs a control program to allow users to easily conduct body movement teaching. Teachers can use this program to teach body movements and increase student interest.","Yes","Accommodation","Body movement assistance device","Learning","N/A","N/A","N/A","Body movement","N/A"
"Rashiti, M.; Zahiti, K.","Visual impairment in the mirrow of time",2017,"Visual impairment is one of the most severe sensory restriction of human being. Over the time the situation of visually impaired people changed as well as opportunities in education and tools to live a normal independent life. Blindman's stick, guide dog as well as modern tools as monitors and mobile apps help visually impaired people to become as much as possible integrated in our society.","Yes","Accommodation","Blindman's stick, guide dog, monitors, mobile apps","N/A","N/A","N/A","N/A","N/A","N/A"
"Ohene-Djan, James Francis; Fernando, Sandra A.","Screen navigation system for visually impaired people",2018,"Purpose The SETUP09 system consists of both navigation and a computer-aided drawing technique for people who are blind and visually impaired (BVI). The purpose of this paper is to address the need for a screen navigation technique, which can facilitate a user's ability to produce art, and scientific diagrams electronically, by introducing a compass-based screen navigation method. Design/methodology/approach BVI computer users were tested using different screen navigation tasks to assess the accuracy and efficiency of this compass-based navigation technique by using a prototype (SETUP09) and tactile paper grid maps. Findings The results confirmed that the compass-based navigation facilitates higher accuracy in screen-based moving and location recognition with a noticeable reduction in time and effort. Research limitations/implications Improvements such as the addition of a sound layer to the interface, use of hotkeys, braille and user speech inputs are yet to be tested. Social implications The current lack of suitable and efficient screen navigation technology is a limiting factor for BVI students and computer users in producing diagrams and drawings. This may place limitations on their career progression and life contentment. It is challenging for a BVI person to draw diagrams and art, which are commonly taught in education or used in industry. The compass-based screen navigation system was developed to address BVI users' need to be able to create such content. Originality/value A compass-based navigation method enables screen navigation through a formal command language and enables intuitive movement to a screen location using matrix-style compass directions with zoom-in and zoom-out capabilities.","Yes","Accommodation","Compass-based screen navigation for BVI users","N/A","N/A","N/A","N/A","Art and scientific diagrams","N/A"
"Picada Roveder, Angela Balbina; Dalcin, Eduardo; Pavao Siluk, Ana Claudia","Accessibility of Educational Edmodo Social Platform from the perspective of visually impaired",2015,"The technologies have advanced greatly over the past few years, especially those that seek to provide conditions for access to persons with disabilities. In that article, it has been the goal of conducting analysis regarding the accessibility of social educational platform Edmodo, from the point of view of the visually impaired. The audience, visually impaired student a Bachelor of Computing. To this end, a descriptive and exploratoring research, the case study, qualitative approach was performed. The results allow us to identify some necessary accessibility in educational platform Edmodo social adaptations.","Yes","Accommodation","Accessibility of Edmodo for visually impaired","N/A","College","One","N/A","N/A","N/A"
"Harris, Lindsay N.; Gladfelter, Allison; Santuzzi, Alecia M.; Lech, Iwona B.; Rodriguez, Rocio; Lopez, Luis E.; Soto, Dawn; Li, Ailing","Braille literacy as a human right: A challenge to the inefficiency argument against braille instruction",2023,"The United Nations Convention on the Rights of Persons with Disabilities (CRPD) affirms a right to education for disabled persons and aims to ensure braille instruction for blind individuals. However, there is evidence that braille instruction is often circumvented or abandoned early in CRPD nations because it is perceived as an inefficient learning medium for blind students. This perception persists despite insufficient empirical evidence and a lack of understanding of the efficiency of reading versus listening for learning in sighted individuals. We therefore investigated the efficiency of learning written versus spoken words in blind and sighted samples. Participants (23 blind, 20 sighted) studied the written definitions of 70 rare English words in successive rounds, presented in conjunction with written or spoken wordforms. Blind participants learned with equal efficiency across modalities, whereas sighted participants learned spoken words more efficiently. The findings indicate the inefficiency argument against teaching braille is groundless, both because braille word learning is not less efficient than auditory word learning for blind individuals, and because reading is valued in the education of sighted individuals despite its apparent inefficiency in that population.","Yes","Accommodation","Braille instruction","Learning","N/A","43","CRPD nations","N/A","N/A"
